,Rank,Site,System,Cores,RMax,RPeak,Power,Country
291,292,Service Provider TChina,Lenovo,90000.0,954.7,3744.0,3375.0,China
292,293,Service Provider TChina,Lenovo,50400.0,954.1,1935.4,,China
293,294, IT Service ProviderChina,Sugon,50400.0,953.7,1935.4,720.0,China
294,295,UNINETT Sigma2 ASNorway,Lenovo,32192.0,953.6,1081.7,,Norway
295,296,Service Provider TChina,HPE,41832.0,951.7,1539.4,1394.0,China
296,297,AtosFrance,BullAtosGroup,35360.0,947.9,1584.1,212.0,France
297,298,Internet CompanyChina,Sugon,50400.0,946.8,1935.4,1965.0,China
298,299,Internet Service AChina,Inspur,21600.0,944.2,1908.0,,China
299,300,Internet Service AChina,Inspur,21600.0,944.2,1908.0,,China
300,301,EDFFrance,BullAtosGroup,29568.0,942.8,1135.4,421.0,France
301,302,GovernmentChina,Sugon,48000.0,942.4,1920.0,800.0,China
302,303,Service Provider TChina,Lenovo,21120.0,940.4,1689.6,,China
303,304,China Manufacture Company BChina,HuaweiTechnologiesCo.Ltd.,32768.0,937.9,1101.0,416.0,China
304,305,Manufacturing Company (A)Sweden,HuaweiTechnologiesCo.Ltd.,27664.0,935.6,1150.8,445.0,Sweden
305,306,Internet Service AChina,Inspur,25920.0,934.7,1908.0,,China
306,307,Internet Service (B)China,Inspur,52800.0,934.2,1943.0,,China
307,308,Internet Service (B)China,Inspur,52800.0,934.2,1943.0,,China
308,309,Internet Service (B)China,Inspur,52800.0,934.2,1943.0,,China
309,310,IT Service ProviderChina,Sugon,49600.0,932.3,1904.6,930.0,China
310,311,Internet CompanyChina,Sugon,54000.0,931.2,1900.8,675.0,China
311,312,Internet CompanyChina,Sugon,56000.0,920.8,1881.6,770.0,China
312,313,Information Technology Company (P)China,HPE,46640.0,918.8,1641.7,,China
313,314,IT Service Provider (L)China,Sugon,48000.0,918.4,1843.2,900.0,China
314,315,Service Provider TChina,Lenovo,43200.0,915.4,1520.6,,China
315,316,Internet CompanyChina,Sugon,50000.0,914.8,1840.0,1235.0,China
316,317,IT Provider (P)United States,HPE,28800.0,914.7,1152.0,1590.0,United States
317,318,Internet Company AChina,Lenovo,21600.0,912.7,1602.0,,China
318,319,Internet Company AChina,Lenovo,21600.0,912.7,1602.0,,China
319,320,Interdisciplinary Centre for Mathematical and Computational Modelling University of WarsawPoland,CrayInc.,26016.0,909.6,1082.3,585.0,Poland
320,321,National Institute of Water and Atmospheric ResearchNew Zealand,CrayInc.,18560.0,908.9,1425.4,,New Zealand
321,322,Internet Service AChina,Inspur,20640.0,906.1,1800.0,,China
322,323,Shared Services CanadaCanada,CrayInc.,30816.0,904.1,1035.4,,Canada
323,324,Shared Services CanadaCanada,CrayInc.,30816.0,904.1,1035.4,,Canada
324,325,GovernmentChina,Lenovo,50400.0,902.2,1935.4,,China
325,326,Moscow State University - Research Computing CenterRussia,T-Platforms,78660.0,901.9,1700.2,2800.0,Russia
326,327,Supercomputer Education and Research Centre (SERC) Indian Institute of ScienceIndia,CrayInc.,31104.0,901.5,1244.2,608.0,India
327,328,UniversityChina,Sugon,17200.0,897.2,1444.2,140.0,China
328,329,Internet CompanyChina,Lenovo,51360.0,895.1,1807.9,,China
329,330,Rensselaer Polytechnic InstituteUnited States,IBM,81920.0,894.4,1048.6,411.0,United States
330,331,Software Company (M)United States,HPE,32400.0,893.0,1244.2,,United States
331,332,Simulation Cloud Service AChina,HuaweiTechnologiesCo.Ltd.,33216.0,889.3,1116.1,437.0,China
332,333,Internet Service AChina,Inspur,19200.0,884.0,1696.0,,China
333,334,Internet Service AChina,Inspur,19200.0,884.0,1696.0,,China
334,335,Internet Service AChina,Inspur,18240.0,882.0,1611.2,,China
335,336,Internet Service AChina,Inspur,18240.0,882.0,1611.2,,China
336,337,Manufacturing Company CGermany,HuaweiTechnologiesCo.Ltd.,30184.0,881.8,1159.1,369.0,Germany
337,338,Internet Service (S)China,Lenovo,53200.0,881.0,2213.1,,China
338,339,Internet CompanyChina,Lenovo,50400.0,879.2,1774.1,,China
339,340,Internet Company AChina,HuaweiTechnologiesCo.Ltd.,49600.0,875.9,1825.3,930.0,China
340,341,Internet Service AChina,Inspur,45440.0,874.8,1817.6,,China
341,342,Internet Service AChina,Inspur,45440.0,874.8,1817.6,,China
342,343,Internet Service AChina,Inspur,44800.0,874.1,1792.0,,China
343,344,Internet Service AChina,Inspur,44800.0,874.1,1792.0,,China
344,345,Internet Service AChina,Inspur,44800.0,874.1,1792.0,,China
345,346,Clemson UniversityUnited States,HPE,23452.0,870.0,1550.5,1124.0,United States
346,347,Internet Service AChina,Inspur,19200.0,869.2,1696.0,,China
347,348,RetailUnited States,HPE,46080.0,869.2,1548.3,,United States
348,349,Internet Company AChina,Lenovo,20160.0,866.5,1495.2,,China
349,350,Internet Company AChina,Lenovo,20160.0,866.5,1495.2,,China
350,351,Internet Service AChina,Inspur,23040.0,865.0,1696.0,,China
351,352,Internet Service AChina,Inspur,23040.0,865.0,1696.0,,China
352,353,Internet Service AChina,Inspur,23040.0,865.0,1696.0,,China
353,354,University of SouthamptonUnited Kingdom,Lenovo,20400.0,864.5,1305.6,,United Kingdom
354,355,GovernmentChina,Sugon,45600.0,862.5,1751.0,1700.0,China
355,356,Volvo Personvagnar ABSweden,HPE,24624.0,861.5,1024.4,,Sweden
356,357,Software Company (M)United States,HPE,40320.0,858.9,1483.8,,United States
357,358,Software Company (M)United States,HPE,40320.0,858.9,1483.8,,United States
358,359,Advanced Center for Computing and Communication RIKENJapan,PEZYComputing/ExascalerInc.,794400.0,857.6,1127.7,47.0,Japan
359,360,Chinese Institute of MeteorologyChina,HuaweiTechnologiesCo.Ltd.,33280.0,857.6,1118.2,448.0,China
360,361,Trading CompanyChina,HPE,36800.0,856.5,1530.9,1840.0,China
361,362,Services Company (S)Japan,HPE,37884.0,852.8,1454.7,,Japan
362,363,Internet CompanyChina,Sugon,51200.0,841.6,1720.3,640.0,China
363,364,Energy Company (D)United States,HPE,34304.0,841.5,1427.0,,United States
364,365,Software Company (M)United States,HPE,30528.0,841.4,1172.3,,United States
365,366,Software Company (M)United States,HPE,30528.0,841.4,1172.3,,United States
366,367,Network CompanyChina,Lenovo,48000.0,840.5,1843.2,,China
367,368,Core InternationalChina,Lenovo,30080.0,840.3,1540.1,,China
368,369,IT Services Provider United States,HPE,33660.0,838.8,1400.3,,United States
369,370,Internet CompanyChina,Lenovo,48000.0,838.2,1689.6,,China
370,371,IT Service Provider (L)China,Sugon,44800.0,838.0,1720.3,840.0,China
371,372,GovernmentChina,Lenovo,32000.0,836.2,1962.2,,China
372,373,IntelUnited States,HPE,30672.0,833.9,1226.9,1534.0,United States
373,374,Software Company (M)United States,HPE,30240.0,833.5,1161.2,,United States
374,375, IT Service ProviderChina,Sugon,48000.0,832.6,1689.6,600.0,China
375,376,Government DepartmentChina,Sugon,48000.0,832.2,1689.6,720.0,China
376,377,Services Company (S)United States,HPE,36736.0,831.9,1410.7,,United States
377,378,Services Company (S)United States,HPE,36736.0,831.9,1410.7,,United States
378,379,HLRN at Universitaet Hannover / RRZNGermany,CrayInc.,40320.0,829.8,1241.4,788.0,Germany
379,380,Telecom CompanyChina,Sugon,45600.0,827.8,1678.1,570.0,China
380,381,Internet Company AChina,Lenovo,37600.0,827.2,1504.0,881.0,China
381,382,Service Provider TChina,Lenovo,43120.0,825.9,1655.8,,China
382,383,Internet CompanyChina,Lenovo,50240.0,825.8,1688.1,,China
383,384,Internet Service (B)China,Lenovo,45120.0,825.7,1588.2,,China
384,385,PEZY Computing K.K.Japan,PEZYComputing/ExascalerInc.,794400.0,824.7,1127.7,50.0,Japan
385,386,Cloud ProviderAustralia,Lenovo,28800.0,824.6,1059.8,,Australia
386,387,Hosting ServicesUnited States,Lenovo,28800.0,824.6,1059.8,,United States
387,388,Hosting ServicesUnited States,Lenovo,28800.0,824.6,1059.8,,United States
388,389,Hosting ServicesUnited States,Lenovo,28800.0,824.6,1059.8,,United States
389,390,Hosting ServicesUnited States,Lenovo,28800.0,824.6,1059.8,,United States
390,391,Hosting ServicesUnited States,Lenovo,28800.0,824.6,1059.8,,United States
391,392,Software Company (M)Singapore,Lenovo,28800.0,824.6,1059.8,,Singapore
392,393,Software Company (M)Ireland,Lenovo,28800.0,824.6,1059.8,,Ireland
393,394,Software Company (M)Netherlands,Lenovo,28800.0,824.6,1059.8,,Netherlands
394,395,Internet Service (B)China,Sugon,48000.0,822.8,1689.6,988.0,China
395,396,Financial Company (C A1)China,Lenovo,42496.0,822.7,1495.9,996.0,China
396,397,Academic Center for Computing and Media Studies (ACCMS)  Kyoto UniversityJapan,CrayInc.,30600.0,821.9,1028.2,357.0,Japan
397,398,Internet CompanyChina,Sugon,48000.0,821.8,1689.6,620.0,China
398,399,Pharmaceutical Company China,HuaweiTechnologiesCo.Ltd.,29344.0,820.3,1220.7,396.0,China
399,400,Software Company (M)United States,HPE,38880.0,819.2,1493.0,,United States
400,401,Software Company (M)United States,HPE,38880.0,819.2,1493.0,,United States
401,402,Software Company (M)Ireland,HPE,38784.0,819.2,1489.3,,Ireland
402,403,Software Company (M)Ireland,HPE,36840.0,819.2,1414.7,,Ireland
403,404,Software Company (M)United States,HPE,36480.0,819.2,1400.8,,United States
404,405,Software Company (M)United States,HPE,36048.0,819.2,1384.2,,United States
405,406,Internet Company AChina,Lenovo,18720.0,817.2,1388.4,,China
406,407,Saudi AramcoSaudi Arabia,HPE,40960.0,816.6,917.5,707.0,Saudi Arabia
407,408,Internet CompanyChina,Lenovo,49600.0,815.6,1666.6,,China
408,409,Internet Service AChina,Inspur,18432.0,814.2,1463.0,,China
409,410,Internet CompanyChina,Sugon,54000.0,810.8,1641.6,900.0,China
410,411,Information Technology Center The University of TokyoJapan,HPE,16640.0,805.6,1434.2,79.0,Japan
411,412,IT Service Provider (L)China,Sugon,43200.0,804.9,1658.9,900.0,China
412,413,Internet Service (B)China,Lenovo,54800.0,803.9,2104.3,,China
413,414,Information Technology Center The University of TokyoJapan,HPE,17760.0,802.4,1417.2,94.0,Japan
414,415,Internet Service (B)China,Lenovo,44800.0,802.1,1720.3,,China
415,416,IT Service Provider (L)China,Sugon,44000.0,801.6,1619.2,660.0,China
416,417,Westfälische Wilhelms-Universität MünsterGermany,MEGWARE,17352.0,800.3,1277.1,214.0,Germany
417,418,Internet CompanyChina,Sugon,176000.0,798.6,1619.2,1100.0,China
418,419,High Energy Accelerator Research Organization /KEKJapan,PEZYComputing/ExascalerInc.,762624.0,798.0,1082.6,47.0,Japan
419,420,National Supercomputing Center in JinanChina,NationalResearchCenterofParallelComputerEngineering&Technology,137200.0,795.9,1070.2,1074.0,China
420,421,Service Provider TChina,Lenovo,43200.0,794.6,1589.8,,China
421,422,Purdue UniversityUnited States,DellEMC,12960.0,793.2,1078.3,240.0,United States
422,423,Service Provider TChina,Lenovo,46000.0,793.1,1619.2,,China
423,424,Max-Planck-Gesellschaft MPI/IPPGermany,Lenovo,28128.0,790.7,1035.1,,Germany
424,425,Network CompanyChina,Lenovo,45600.0,788.4,1605.1,,China
425,426,Internet Company AChina,Lenovo,39200.0,788.2,1630.7,,China
426,427,Internet Service (B)China,Sugon,46000.0,788.2,1619.2,1076.0,China
427,428,University (A)China,HuaweiTechnologiesCo.Ltd.,28160.0,787.1,946.2,358.0,China
428,429,Software Company (M)United States,HPE,34560.0,785.3,1327.1,,United States
429,430,Software Company (M)Netherlands,HPE,34560.0,785.3,1327.1,,Netherlands
430,431,Software Company (M)Netherlands,HPE,34560.0,785.3,1327.1,,Netherlands
431,432,Software Company (M)United States,HPE,34560.0,785.3,1327.1,,United States
432,433,Stanford Research Computing CenterUnited States,CrayInc.,14820.0,781.3,1001.7,190.0,United States
433,434,Internet Service AChina,Inspur,17920.0,779.2,1422.4,,China
434,435,Network CompanyChina,Lenovo,45000.0,777.7,1584.0,,China
435,436,University of Tokyo/Institute for Solid State PhysicsJapan,HPE,15552.0,777.4,1100.2,255.0,Japan
436,437,Lawrence Livermore National LaboratoryUnited States,CrayInc.,46208.0,773.7,961.1,924.0,United States
437,438,National Super Computer Center in HunanChina,NUDT,53248.0,771.7,1342.8,1155.0,China
438,439,Qingdao National Laboratory for Marine Science and TechnologyChina,Inspur,23920.0,771.3,1030.2,162.0,China
439,440,National Institute for Environmental StudiesJapan,NSSOL/HPE,16320.0,770.4,1243.8,79.0,Japan
440,441,Research (B)China,Sugon,12880.0,769.2,1071.6,184.0,China
441,442,Karlsruher Institut für Technologie (KIT) Germany,Lenovo,22960.0,768.3,955.1,435.0,Germany
442,443,Service Provider TChina,Lenovo,40320.0,768.0,1548.3,,China
443,444,AWEUnited Kingdom,HPE,35640.0,767.5,798.3,685.0,United Kingdom
444,445,Service Provider TChina,Lenovo,40800.0,765.6,1501.4,,China
445,446,Service Provider TChina,Lenovo,40800.0,765.6,1501.4,,China
446,447,Petroleum CompanyChina,HuaweiTechnologiesCo.Ltd.,26880.0,763.8,1032.2,374.0,China
447,448,Sandia National LaboratoriesUnited States,PenguinComputingInc.,25920.0,761.8,870.9,320.0,United States
448,449,Penguin Computing Inc.United States,PenguinComputingInc.,26496.0,759.9,778.5,321.0,United States
449,450,Service ProviderKorea South,HPE,30720.0,759.6,1032.2,,"Korea, South"
450,451,E-CommerceUnited States,HPE,41132.0,758.6,1316.2,,United States
451,452,Retailer (C)United States,HPE,36500.0,758.6,1284.8,,United States
452,453,Retailer (C)United States,HPE,36500.0,758.6,1284.8,,United States
453,454,Service ProviderKorea South,HPE,32760.0,757.0,1258.0,,"Korea, South"
454,455,Internet Company AChina,Lenovo,70000.0,756.9,2240.0,2625.0,China
455,456,Internet Company AChina,Lenovo,70000.0,756.9,2240.0,2625.0,China
456,457,Internet Company AChina,Lenovo,70000.0,756.9,2240.0,2625.0,China
457,458,"National Research Centre ""Kurchatov Institute""Russia",SuperMicro/Mellanox,22700.0,755.5,1268.4,,Russia
458,459,Software Company (M)United States,HPE,30000.0,753.5,1152.0,1000.0,United States
459,460,IT Service ProviderChina,Sugon,44000.0,752.3,1548.8,1029.0,China
460,461,Government Research CenterChina,Sugon,38400.0,752.3,1536.0,672.0,China
461,462,Internet Service (B)China,Inspur,48000.0,748.2,1766.4,,China
462,463,Internet Service (B)China,Inspur,48000.0,748.2,1766.4,,China
463,464,Service Provider TChina,Inspur,48000.0,748.2,1766.4,,China
464,465,Manufacturing Company AGermany,HuaweiTechnologiesCo.Ltd.,35480.0,747.7,1419.2,574.0,Germany
465,466,Central China Normal UniversityChina,Inspur,11952.0,746.1,1080.0,,China
466,467,Software Company (M)United States,HPE,32832.0,746.1,1260.7,,United States
467,468,Center for Computational Sciences University of TsukubaJapan,CrayInc.,55664.0,746.0,998.5,366.0,Japan
468,469,GovernmentChina,Sugon,15872.0,745.9,1288.4,150.0,China
469,470,Internet Company AChina,Lenovo,34560.0,745.4,1382.4,,China
470,471,Service ProviderKorea South,HPE,32200.0,744.0,1236.5,,"Korea, South"
471,472,GovernmentChina,Sugon,39200.0,742.4,1505.3,588.0,China
472,473,Internet Company (I)China,Sugon,43200.0,742.3,1520.6,540.0,China
473,474,Internet CompanyChina,Sugon,43200.0,741.8,1520.6,900.0,China
474,475,National Institute for Materials ScienceJapan,HPE,25056.0,741.7,1002.2,405.0,Japan
475,476,Internet Service (B)China,Lenovo,38400.0,740.4,1536.0,,China
476,477,University of FloridaUnited States,DellEMC,29184.0,738.1,1074.0,384.0,United States
477,478,LASG/Institute of Atmospheric Physics CASChina,Sugon,24912.0,738.0,996.5,540.0,China
478,479,Service Provider TChina,Lenovo,38400.0,734.8,1413.1,,China
479,480,GovernmentChina,Sugon,35840.0,734.7,1490.9,576.0,China
480,481,Manufacturing Company BGermany,HuaweiTechnologiesCo.Ltd.,27960.0,733.9,984.2,336.0,Germany
481,482,Internet CompanyChina,Sugon,44800.0,733.7,1505.3,650.0,China
482,483,GovernmentChina,Sugon,14400.0,731.2,1236.2,400.0,China
483,484,Information Technology Company (P)China,HPE,34896.0,731.2,1228.3,,China
484,485,Telecom CompanyChina,Sugon,40320.0,730.7,1483.8,504.0,China
485,486,Internet Service AChina,Inspur,15640.0,730.1,1085.6,225.0,China
486,487,Internet CompanyChina,Sugon,40000.0,725.0,1472.0,990.0,China
487,488,Internet Company AChina,Lenovo,36864.0,721.1,1474.6,,China
488,489,Internet Company AChina,Lenovo,36864.0,721.1,1474.6,,China
489,490,Internet Company AChina,Lenovo,36864.0,721.1,1474.6,,China
490,491,Internet Company AChina,Lenovo,36864.0,721.1,1474.6,,China
491,492,Internet Company AChina,Lenovo,36864.0,721.1,1474.6,,China
492,493,Internet Company AChina,Lenovo,36864.0,721.1,1474.6,,China
493,494,Internet Company AChina,Lenovo,36864.0,721.1,1474.6,,China
494,495,Internet Company AChina,Lenovo,36864.0,721.1,1474.6,,China
495,496,Indian Institute of Tropical MeteorologyIndia,IBM,38016.0,719.2,790.7,790.0,India
496,497,DOE/SC/Argonne National LaboratoryUnited States,IBM,65536.0,715.6,838.9,329.0,United States
497,498,EDF R&DFrance,IBM,65536.0,715.6,838.9,329.0,France
498,499,SOSCIP/LKSAVI/University of TorontoCanada,IBM,65536.0,715.6,838.9,329.0,Canada
499,500,Swiss National Supercomputing Centre (CSCS)Switzerland,IBM,65536.0,715.6,838.9,329.0,Switzerland
